,name,team,salary
220,이동현,LG,60000.0
221,이민재,LG,3400.0
222,이병규,LG,47800.0
223,이승현,LG,3700.0
224,이준형,LG,2800.0
225,이진영,LG,60000.0
226,임정우,LG,12500.0
227,임지섭,LG,3500.0
228,임훈,LG,13000.0
229,장준원,LG,3000.0
230,장진용,LG,5000.0
231,정성훈,LG,50000.0
232,정찬헌,LG,5100.0
233,조윤준,LG,3000.0
234,진해수,LG,9500.0
235,채은성,LG,5500.0
236,최경철,LG,9000.0
237,최동환,LG,3500.0
238,최승준,LG,4200.0
239,황목치승,LG,4000.0
240,히메네스,LG,50000.0
241,강동수,롯데,2900.0
242,강민호,롯데,100000.0
243,강영식,롯데,30000.0
244,구승민,롯데,2900.0
245,김대륙,롯데,3200.0
246,김대우,롯데,3800.0
247,김문호,롯데,7000.0
248,김민하,롯데,4000.0
249,김성배,롯데,18000.0
250,김승회,롯데,22000.0
251,김원중,롯데,3600.0
252,김재유,롯데,2900.0
253,김주현,롯데,3300.0
254,김준태,롯데,3000.0
255,레일리,롯데,63000.0
256,린드블럼,롯데,120000.0
257,문규현,롯데,9000.0
258,박세웅,롯데,5600.0
259,박종윤,롯데,16000.0
260,박진형,롯데,2800.0
261,배장호,롯데,4600.0
262,손아섭,롯데,60000.0
263,손용석,롯데,3400.0
264,송승준,롯데,40000.0
265,심규범,롯데,2900.0
266,심수창,롯데,25000.0
267,아두치,롯데,78000.0
268,안중열,롯데,4000.0
269,오승택,롯데,7000.0
270,오윤석,롯데,2700.0
271,오현근,롯데,3000.0
272,이경우,롯데,2800.0
273,이명우,롯데,15000.0
274,이상화,롯데,5000.0
275,이성민,롯데,9500.0
276,이여상,롯데,3600.0
277,이우민,롯데,7000.0
278,이인복,롯데,2900.0
279,이재곤,롯데,3800.0
280,이정민,롯데,6500.0
281,정대현,롯데,32000.0
282,정재훈,롯데,15000.0
283,정훈,롯데,21000.0
284,조현우,롯데,2800.0
285,차재용,롯데,2800.0
286,최준석,롯데,40000.0
287,허준혁,롯데,3000.0
288,홍성민,롯데,12000.0
289,황재균,롯데,50000.0
290,황진수,롯데,2800.0
291,강구성,NC,2700.0
292,강민국,NC,2700.0
293,강장산,NC,3000.0
294,고창성,NC,5000.0
295,김성욱,NC,5500.0
296,김종호,NC,17500.0
297,김준완,NC,3000.0
298,김진성,NC,15000.0
299,김태군,NC,21000.0
300,김태진,NC,3000.0
301,나성범,NC,30000.0
302,노성호,NC,5500.0
303,노진혁,NC,4300.0
304,모창민,NC,12500.0
305,민성기,NC,3300.0
306,박광열,NC,3000.0
307,박민우,NC,19000.0
308,박진우,NC,3200.0
309,배재환,NC,2700.0
310,손시헌,NC,40000.0
311,손정욱,NC,5600.0
312,스튜어트,NC,50000.0
313,용덕한,NC,8500.0
314,윤병호,NC,2900.0
315,이민호,NC,13500.0
316,이승호,NC,7000.0
317,이재학,NC,20000.0
318,이종욱,NC,50000.0
319,이창섭,NC,3000.0
320,이태양,NC,10000.0
321,이호준,NC,75000.0
322,임정호,NC,7700.0
323,임창민,NC,17400.0
324,장현식,NC,2700.0
325,조영훈,NC,11000.0
326,조평호,NC,3500.0
327,지석훈,NC,14000.0
328,최금강,NC,9200.0
329,최재원,NC,5000.0
330,테임즈,NC,125000.0
331,해커,NC,60000.0
332,황윤호,NC,2700.0
333,강지광,넥센,2700.0
334,고종욱,넥센,7700.0
335,금민철,넥센,7900.0
336,김대우,넥센,11000.0
337,김동준,넥센,3000.0
338,김민성,넥센,22000.0
339,김민준,넥센,2700.0
340,김상수,넥센,6000.0
341,김세현,넥센,16000.0
342,김재현,넥센,4400.0
343,김정인,넥센,3000.0
344,김정훈,넥센,3400.0
345,김지수,넥센,5500.0
346,김택형,넥센,4400.0
347,김하성,넥센,16000.0
348,마정길,넥센,20000.0
349,문성현,넥센,11000.0
350,문우람,넥센,9000.0
351,박동원,넥센,14000.0
352,박헌도,넥센,8000.0
353,배힘찬,넥센,3300.0
354,서건창,넥센,26000.0
355,서동욱,넥센,5800.0
356,손승락,넥센,70000.0
